run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C0_gemma2-9b_s0_site1_7dcf,site1,12b221a,C0,gemma2:9b,0,0,moc712f5e,moca_causal,T1,A,0.88,,0,S1,1,B,0,,B,B,0,2026-09-22T18:07:15Z
C0_gemma2-9b_s0_site1_7dcf,site1,12b221a,C0,gemma2:9b,0,0,moc712f5e,moca_causal,T1,A,0.88,,0,S2,2,B,0,,B,B,0,2026-09-22T18:07:17Z
C0_gemma2-9b_s0_site1_7dcf,site1,12b221a,C0,gemma2:9b,0,0,moc712f5e,moca_causal,T1,A,0.88,,0,S3,3,B,0,,B,B,0,2026-09-22T18:07:18Z
C0_gemma2-9b_s0_site1_7dcf,site1,12b221a,C0,gemma2:9b,0,0,moc712f5e,moca_causal,T1,A,0.88,,0,S4,4,B,0,,B,B,0,2026-09-22T18:07:19Z
C0_gemma2-9b_s0_site1_7dcf,site1,12b221a,C0,gemma2:9b,0,0,moc712f5e,moca_causal,T1,A,0.88,,0,S5,5,B,0,,B,B,0,2026-09-22T18:07:20Z
C0_gemma2-9b_s0_site1_7dcf,site1,12b221a,C0,gemma2:9b,0,0,moc712f5e,moca_causal,T1,A,0.88,,0,S6,6,B,0,,B,B,0,2026-09-22T18:07:21Z
C0_gemma2-9b_s0_site1_7dcf,site1,12b221a,C0,gemma2:9b,0,0,moc712f5e,moca_causal,T1,A,0.88,,0,S7,7,B,0,,B,B,0,2026-09-22T18:07:23Z
C0_gemma2-9b_s0_site1_7dcf,site1,12b221a,C0,gemma2:9b,0,0,moc712f5e,moca_causal,T1,A,0.88,,0,S8,8,B,0,,B,B,0,2026-09-22T18:07:24Z
C0_gemma2-9b_s0_site1_7dcf,site1,12b221a,C0,gemma2:9b,0,1,moc627e44,moca_causal,T2,B,0.76,,0,S2,1,A,0,,A,A,0,2026-09-22T18:07:25Z
C0_gemma2-9b_s0_site1_7dcf,site1,12b221a,C0,gemma2:9b,0,1,moc627e44,moca_causal,T2,B,0.76,,0,S3,2,A,0,,A,A,0,2026-09-22T18:07:26Z
C0_gemma2-9b_s0_site1_7dcf,site1,12b221a,C0,gemma2:9b,0,1,moc627e44,moca_causal,T2,B,0.76,,0,S4,3,A,0,,A,A,0,2026-09-22T18:07:27Z
