run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,0,moc93a645,moca_causal,T1,A,0.92,,0,S1,1,A,1,,A,A,0,2026-09-23T16:38:16Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,0,moc93a645,moca_causal,T1,A,0.92,,0,S2,2,A,1,,A,A,0,2026-09-23T16:39:04Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,0,moc93a645,moca_causal,T1,A,0.92,,0,S3,3,A,1,,A,A,0,2026-09-23T16:39:35Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,0,moc93a645,moca_causal,T1,A,0.92,,0,S4,4,A,1,,A,A,0,2026-09-23T16:40:10Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,0,moc93a645,moca_causal,T1,A,0.92,,0,S5,5,A,1,,A,A,0,2026-09-23T16:40:42Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,0,moc93a645,moca_causal,T1,A,0.92,,0,S6,6,A,1,,A,A,0,2026-09-23T16:41:09Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,0,moc93a645,moca_causal,T1,A,0.92,,0,S7,7,A,1,,A,A,0,2026-09-23T16:41:38Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,0,moc93a645,moca_causal,T1,A,0.92,,0,S8,8,A,1,,A,A,0,2026-09-23T16:42:06Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,1,moc017385,moca_causal,T2,B,0.76,,0,S2,1,A,0,,A,A,0,2026-09-23T16:42:56Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,1,moc017385,moca_causal,T2,B,0.76,,0,S3,2,A,0,,A,A,0,2026-09-23T16:43:25Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,1,moc017385,moca_causal,T2,B,0.76,,0,S4,3,A,0,,B,A,0,2026-09-23T16:43:54Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,1,moc017385,moca_causal,T2,B,0.76,,0,S5,4,A,0,,B,A,0,2026-09-23T16:44:23Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,1,moc017385,moca_causal,T2,B,0.76,,0,S6,5,A,0,,B,A,0,2026-09-23T16:44:52Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,1,moc017385,moca_causal,T2,B,0.76,,0,S7,6,A,0,,B,A,0,2026-09-23T16:45:21Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,1,moc017385,moca_causal,T2,B,0.76,,0,S8,7,A,0,,B,A,0,2026-09-23T16:45:47Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,1,moc017385,moca_causal,T2,B,0.76,,0,S1,8,B,1,,B,B,0,2026-09-23T16:46:16Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,2,moc908f62,moca_causal,T3,B,0.56,,0,S3,1,B,1,,B,B,0,2026-09-23T16:47:13Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,2,moc908f62,moca_causal,T3,B,0.56,,0,S4,2,B,1,,B,B,0,2026-09-23T16:47:40Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,2,moc908f62,moca_causal,T3,B,0.56,,0,S5,3,B,1,,B,B,0,2026-09-23T16:48:06Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,2,moc908f62,moca_causal,T3,B,0.56,,0,S6,4,B,1,,B,B,0,2026-09-23T16:48:33Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,2,moc908f62,moca_causal,T3,B,0.56,,0,S7,5,B,1,,B,B,0,2026-09-23T16:49:02Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,2,moc908f62,moca_causal,T3,B,0.56,,0,S8,6,B,1,,B,B,0,2026-09-23T16:49:31Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,2,moc908f62,moca_causal,T3,B,0.56,,0,S1,7,B,1,,B,B,0,2026-09-23T16:49:57Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,2,moc908f62,moca_causal,T3,B,0.56,,0,S2,8,B,1,,B,B,0,2026-09-23T16:50:23Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,3,moc3ef03c,moca_causal,T1,B,0.92,,0,S4,1,B,1,,B,B,0,2026-09-23T16:51:27Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,3,moc3ef03c,moca_causal,T1,B,0.92,,0,S5,2,B,1,,B,B,0,2026-09-23T16:51:59Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,3,moc3ef03c,moca_causal,T1,B,0.92,,0,S6,3,B,1,,B,B,0,2026-09-23T16:52:35Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,3,moc3ef03c,moca_causal,T1,B,0.92,,0,S7,4,B,1,,B,B,0,2026-09-23T16:53:26Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,3,moc3ef03c,moca_causal,T1,B,0.92,,0,S8,5,B,1,,B,B,0,2026-09-23T16:54:03Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,3,moc3ef03c,moca_causal,T1,B,0.92,,0,S1,6,B,1,,B,B,0,2026-09-23T16:54:45Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,3,moc3ef03c,moca_causal,T1,B,0.92,,0,S2,7,B,1,,B,B,0,2026-09-23T16:55:22Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,3,moc3ef03c,moca_causal,T1,B,0.92,,0,S3,8,B,1,,B,B,0,2026-09-23T16:55:56Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,4,moc83a91d,moca_causal,T2,B,0.8,,0,S5,1,A,0,,A,A,0,2026-09-23T16:57:03Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,4,moc83a91d,moca_causal,T2,B,0.8,,0,S6,2,A,0,,B,A,0,2026-09-23T16:57:32Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,4,moc83a91d,moca_causal,T2,B,0.8,,0,S7,3,A,0,,B,A,0,2026-09-23T16:58:02Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,4,moc83a91d,moca_causal,T2,B,0.8,,0,S8,4,A,0,,B,A,0,2026-09-23T16:58:31Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,4,moc83a91d,moca_causal,T2,B,0.8,,0,S1,5,A,0,,A,A,0,2026-09-23T16:58:59Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,4,moc83a91d,moca_causal,T2,B,0.8,,0,S2,6,A,0,,A,A,0,2026-09-23T16:59:27Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,4,moc83a91d,moca_causal,T2,B,0.8,,0,S3,7,A,0,,A,A,0,2026-09-23T16:59:55Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,4,moc83a91d,moca_causal,T2,B,0.8,,0,S4,8,A,0,,A,A,0,2026-09-23T17:00:24Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,5,mocbafd90,moca_causal,T3,A,0.52,,0,S6,1,A,1,,A,A,0,2026-09-23T17:02:32Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,5,mocbafd90,moca_causal,T3,A,0.52,,0,S7,2,A,1,,A,A,0,2026-09-23T17:03:18Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,5,mocbafd90,moca_causal,T3,A,0.52,,0,S8,3,A,1,,A,A,0,2026-09-23T17:03:51Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,5,mocbafd90,moca_causal,T3,A,0.52,,0,S1,4,A,1,,A,A,0,2026-09-23T17:04:24Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,5,mocbafd90,moca_causal,T3,A,0.52,,0,S2,5,A,1,,A,A,0,2026-09-23T17:04:57Z
C0_gemma3-12b_s0_site4_9abe,site4,8b01f10,C0,gemma3:12b,0,5,mocbafd90,moca_causal,T3,A,0.52,,0,S3,6,A,1,,A,A,0,2026-09-23T17:05:30Z
