run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C0_gemma3-12b_s1_site5_ffb8,site5,0c1a08c,C0,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,,0,S1,1,A,1,,A,A,0,2026-09-22T15:59:23Z
C0_gemma3-12b_s1_site5_ffb8,site5,0c1a08c,C0,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,,0,S2,2,A,1,,A,A,0,2026-09-22T15:59:28Z
C0_gemma3-12b_s1_site5_ffb8,site5,0c1a08c,C0,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,,0,S3,3,A,1,,A,A,0,2026-09-22T15:59:35Z
C0_gemma3-12b_s1_site5_ffb8,site5,0c1a08c,C0,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,,0,S4,4,A,1,,A,A,0,2026-09-22T15:59:41Z
C0_gemma3-12b_s1_site5_ffb8,site5,0c1a08c,C0,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,,0,S5,5,B,0,,B,A,0,2026-09-22T15:59:48Z
C0_gemma3-12b_s1_site5_ffb8,site5,0c1a08c,C0,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,,0,S6,6,A,1,,A,A,0,2026-09-22T15:59:54Z
C0_gemma3-12b_s1_site5_ffb8,site5,0c1a08c,C0,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,,0,S7,7,A,1,,A,A,0,2026-09-22T16:00:00Z
C0_gemma3-12b_s1_site5_ffb8,site5,0c1a08c,C0,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,,0,S8,8,A,1,,A,A,0,2026-09-22T16:00:07Z
C0_gemma3-12b_s1_site5_ffb8,site5,0c1a08c,C0,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,,0,S2,1,B,0,,B,B,0,2026-09-22T16:00:13Z
C0_gemma3-12b_s1_site5_ffb8,site5,0c1a08c,C0,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,,0,S3,2,B,0,,B,B,0,2026-09-22T16:00:19Z
