run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C0_gemma3-latest_s1_site4_0d34,site4,f2e7216,C0,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,,0,S1,1,B,0,,B,B,0,2026-09-25T16:16:11Z
C0_gemma3-latest_s1_site4_0d34,site4,f2e7216,C0,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,,0,S2,2,B,0,,B,B,0,2026-09-25T16:16:25Z
C0_gemma3-latest_s1_site4_0d34,site4,f2e7216,C0,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,,0,S3,3,B,0,,B,B,0,2026-09-25T16:17:06Z
C0_gemma3-latest_s1_site4_0d34,site4,f2e7216,C0,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,,0,S4,4,B,0,,B,B,0,2026-09-25T16:17:51Z
C0_gemma3-latest_s1_site4_0d34,site4,f2e7216,C0,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,,0,S5,5,B,0,,B,B,0,2026-09-25T16:18:21Z
C0_gemma3-latest_s1_site4_0d34,site4,f2e7216,C0,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,,0,S6,6,A,1,,B,B,0,2026-09-25T16:19:03Z
C0_gemma3-latest_s1_site4_0d34,site4,f2e7216,C0,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,,0,S7,7,A,1,,A,A,0,2026-09-25T16:19:26Z
C0_gemma3-latest_s1_site4_0d34,site4,f2e7216,C0,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,,0,S8,8,A,1,,A,B,0,2026-09-25T16:19:44Z
C0_gemma3-latest_s1_site4_0d34,site4,f2e7216,C0,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,,0,S2,1,A,1,,A,A,0,2026-09-25T16:20:11Z
C0_gemma3-latest_s1_site4_0d34,site4,f2e7216,C0,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,,0,S3,2,A,1,,A,A,0,2026-09-25T16:20:21Z
C0_gemma3-latest_s1_site4_0d34,site4,f2e7216,C0,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,,0,S4,3,A,1,,A,A,0,2026-09-25T16:20:33Z
C0_gemma3-latest_s1_site4_0d34,site4,f2e7216,C0,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,,0,S5,4,A,1,,A,A,0,2026-09-25T16:20:46Z
C0_gemma3-latest_s1_site4_0d34,site4,f2e7216,C0,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,,0,S6,5,A,1,,A,A,0,2026-09-25T16:21:02Z
C0_gemma3-latest_s1_site4_0d34,site4,f2e7216,C0,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,,0,S7,6,A,1,,A,A,0,2026-09-25T16:21:17Z
C0_gemma3-latest_s1_site4_0d34,site4,f2e7216,C0,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,,0,S8,7,A,1,,A,A,0,2026-09-25T16:21:32Z
C0_gemma3-latest_s1_site4_0d34,site4,f2e7216,C0,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,,0,S1,8,A,1,,A,A,0,2026-09-25T16:21:45Z
