run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,0,moc1b8f24,moca_causal,T1,A,0.92,,0,S1,1,A,1,,A,A,0,2026-09-22T18:52:55Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,0,moc1b8f24,moca_causal,T1,A,0.92,,0,S2,2,A,1,,A,A,0,2026-09-22T18:52:56Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,0,moc1b8f24,moca_causal,T1,A,0.92,,0,S3,3,A,1,,A,A,0,2026-09-22T18:52:57Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,0,moc1b8f24,moca_causal,T1,A,0.92,,0,S4,4,A,1,,A,A,0,2026-09-22T18:52:58Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,0,moc1b8f24,moca_causal,T1,A,0.92,,0,S5,5,A,1,,A,A,0,2026-09-22T18:52:59Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,0,moc1b8f24,moca_causal,T1,A,0.92,,0,S6,6,A,1,,A,A,0,2026-09-22T18:53:00Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,0,moc1b8f24,moca_causal,T1,A,0.92,,0,S7,7,A,1,,A,A,0,2026-09-22T18:53:01Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,0,moc1b8f24,moca_causal,T1,A,0.92,,0,S8,8,A,1,,A,A,0,2026-09-22T18:53:02Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,1,moc99f095,moca_causal,T2,B,0.84,,0,S2,1,B,1,,B,B,0,2026-09-22T18:53:03Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,1,moc99f095,moca_causal,T2,B,0.84,,0,S3,2,B,1,,B,B,0,2026-09-22T18:53:04Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,1,moc99f095,moca_causal,T2,B,0.84,,0,S4,3,B,1,,B,B,0,2026-09-22T18:53:05Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,1,moc99f095,moca_causal,T2,B,0.84,,0,S5,4,B,1,,B,B,0,2026-09-22T18:53:06Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,1,moc99f095,moca_causal,T2,B,0.84,,0,S6,5,B,1,,B,B,0,2026-09-22T18:53:07Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,1,moc99f095,moca_causal,T2,B,0.84,,0,S7,6,B,1,,B,B,0,2026-09-22T18:53:08Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,1,moc99f095,moca_causal,T2,B,0.84,,0,S8,7,B,1,,B,B,0,2026-09-22T18:53:10Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,1,moc99f095,moca_causal,T2,B,0.84,,0,S1,8,B,1,,B,B,0,2026-09-22T18:53:10Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,2,moc20ebdd,moca_causal,T3,B,0.68,,0,S3,1,B,1,,B,B,0,2026-09-22T18:53:11Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,2,moc20ebdd,moca_causal,T3,B,0.68,,0,S4,2,B,1,,B,B,0,2026-09-22T18:53:12Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,2,moc20ebdd,moca_causal,T3,B,0.68,,0,S5,3,B,1,,B,B,0,2026-09-22T18:53:13Z
C0_qwen2.5-7b_s0_site1_140b,site1,eb85f29,C0,qwen2.5:7b,0,2,moc20ebdd,moca_causal,T3,B,0.68,,0,S6,4,B,1,,B,B,0,2026-09-22T18:53:14Z
