run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,A,0,S1,1,A,1,1,A,A,0,2026-09-22T19:28:44Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,A,0,S2,2,B,0,0,B,A,0,2026-09-22T19:28:51Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,A,0,S3,3,A,1,1,A,A,0,2026-09-22T19:28:57Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,A,0,S4,4,A,1,1,A,A,0,2026-09-22T19:29:04Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,A,0,S5,5,B,0,0,B,A,0,2026-09-22T19:29:11Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,A,0,S6,6,A,1,1,A,A,0,2026-09-22T19:29:18Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,A,0,S7,7,A,1,1,A,A,0,2026-09-22T19:29:25Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,A,0,S8,8,A,1,1,A,A,0,2026-09-22T19:29:32Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,A,0,S2,1,B,0,0,B,B,0,2026-09-22T19:29:39Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,A,0,S3,2,B,0,0,B,B,0,2026-09-22T19:29:45Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,A,0,S4,3,B,0,0,B,B,0,2026-09-22T19:29:53Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,A,0,S5,4,B,0,0,B,B,0,2026-09-22T19:30:00Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,A,0,S6,5,B,0,0,B,B,0,2026-09-22T19:30:06Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,A,0,S7,6,B,0,0,B,B,0,2026-09-22T19:30:14Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,A,0,S8,7,B,0,0,B,B,0,2026-09-22T19:30:21Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,A,0,S1,8,B,0,0,B,B,0,2026-09-22T19:30:28Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,2,moc7a06ea,moca_causal,T3,B,0.56,B,0,S3,1,A,0,0,B,A,0,2026-09-22T19:30:35Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,2,moc7a06ea,moca_causal,T3,B,0.56,B,0,S4,2,A,0,0,B,A,0,2026-09-22T19:30:42Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,2,moc7a06ea,moca_causal,T3,B,0.56,B,0,S5,3,B,1,1,B,B,0,2026-09-22T19:30:48Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,2,moc7a06ea,moca_causal,T3,B,0.56,B,0,S6,4,B,1,1,B,B,0,2026-09-22T19:30:56Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,2,moc7a06ea,moca_causal,T3,B,0.56,B,0,S7,5,A,0,0,B,A,0,2026-09-22T19:31:02Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,2,moc7a06ea,moca_causal,T3,B,0.56,B,0,S8,6,A,0,0,A,A,0,2026-09-22T19:31:09Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,2,moc7a06ea,moca_causal,T3,B,0.56,B,0,S1,7,A,0,0,B,B,0,2026-09-22T19:31:15Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,2,moc7a06ea,moca_causal,T3,B,0.56,B,0,S2,8,A,0,0,A,A,0,2026-09-22T19:31:22Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,3,moc712f5e,moca_causal,T1,A,0.88,A,0,S4,1,A,1,1,B,A,0,2026-09-22T19:31:30Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,3,moc712f5e,moca_causal,T1,A,0.88,A,0,S5,2,A,1,1,B,B,0,2026-09-22T19:31:36Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,3,moc712f5e,moca_causal,T1,A,0.88,A,0,S6,3,A,1,1,B,A,0,2026-09-22T19:31:43Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,3,moc712f5e,moca_causal,T1,A,0.88,A,0,S7,4,A,1,1,B,A,0,2026-09-22T19:31:50Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,3,moc712f5e,moca_causal,T1,A,0.88,A,0,S8,5,B,0,0,B,B,0,2026-09-22T19:31:58Z
C1_gemma3-12b_s1_site5_8650,site5,fd92e9c,C1,gemma3:12b,1,3,moc712f5e,moca_causal,T1,A,0.88,A,0,S1,6,B,0,0,B,B,0,2026-09-22T19:32:05Z
