run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,A,0,S1,1,A,1,1,B,A,0,2026-09-22T09:49:06Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,A,0,S2,2,A,1,1,B,A,0,2026-09-22T09:49:11Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,A,0,S3,3,A,1,1,A,A,0,2026-09-22T09:49:17Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,A,0,S4,4,B,0,0,B,B,0,2026-09-22T09:49:22Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,A,0,S5,5,A,1,1,A,A,0,2026-09-22T09:49:27Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,A,0,S6,6,B,0,0,B,B,0,2026-09-22T09:49:33Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,A,0,S7,7,A,1,1,B,A,0,2026-09-22T09:49:38Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,A,0,S8,8,A,1,1,B,A,0,2026-09-22T09:49:43Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,B,0,S2,1,B,1,1,B,B,0,2026-09-22T09:49:49Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,B,0,S3,2,B,1,1,B,B,0,2026-09-22T09:49:54Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,B,0,S4,3,B,1,1,B,B,0,2026-09-22T09:50:00Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,B,0,S5,4,B,1,1,B,B,0,2026-09-22T09:50:05Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,B,0,S6,5,B,1,1,B,B,0,2026-09-22T09:50:11Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,B,0,S7,6,B,1,1,B,B,0,2026-09-22T09:50:16Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,B,0,S8,7,B,1,1,B,B,0,2026-09-22T09:50:22Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,B,0,S1,8,B,1,1,B,B,0,2026-09-22T09:50:27Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,2,moc2496e9,moca_causal,T3,A,0.56,A,0,S3,1,B,0,0,B,B,0,2026-09-22T09:50:32Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,2,moc2496e9,moca_causal,T3,A,0.56,A,0,S4,2,B,0,0,B,B,0,2026-09-22T09:50:38Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,2,moc2496e9,moca_causal,T3,A,0.56,A,0,S5,3,B,0,0,B,B,0,2026-09-22T09:50:43Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,2,moc2496e9,moca_causal,T3,A,0.56,A,0,S6,4,A,1,1,B,A,0,2026-09-22T09:50:48Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,2,moc2496e9,moca_causal,T3,A,0.56,A,0,S7,5,A,1,1,B,A,0,2026-09-22T09:50:53Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,2,moc2496e9,moca_causal,T3,A,0.56,A,0,S8,6,B,0,0,B,A,0,2026-09-22T09:50:58Z
C1_gemma3-latest_s0_site3_0aed,site3,7fd74ad,C1,gemma3:latest,0,2,moc2496e9,moca_causal,T3,A,0.56,A,0,S1,7,A,1,1,B,A,0,2026-09-22T09:51:04Z
