run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,A,0,S1,1,A,1,1,B,B,0,2026-09-25T19:58:27Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,A,0,S2,2,B,0,0,B,B,0,2026-09-25T19:58:34Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,A,0,S3,3,B,0,0,B,B,0,2026-09-25T19:58:43Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,A,0,S4,4,B,0,0,B,B,0,2026-09-25T19:58:51Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,A,0,S5,5,A,1,1,B,B,0,2026-09-25T19:59:01Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,A,0,S6,6,A,1,1,B,B,0,2026-09-25T19:59:12Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,A,0,S7,7,B,0,0,B,B,0,2026-09-25T19:59:23Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,A,0,S8,8,B,0,0,B,B,0,2026-09-25T19:59:33Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,A,0,S2,1,A,1,1,A,A,0,2026-09-25T19:59:52Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,A,0,S3,2,A,1,1,A,A,0,2026-09-25T20:00:03Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,A,0,S4,3,A,1,1,A,A,0,2026-09-25T20:00:15Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,A,0,S5,4,A,1,1,A,A,0,2026-09-25T20:00:26Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,A,0,S6,5,A,1,1,A,A,0,2026-09-25T20:00:35Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,A,0,S7,6,A,1,1,B,A,0,2026-09-25T20:00:46Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,A,0,S8,7,A,1,1,A,B,0,2026-09-25T20:00:57Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,A,0,S1,8,A,1,1,A,A,0,2026-09-25T20:01:08Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,A,0,S3,1,A,1,1,B,B,0,2026-09-25T20:01:26Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,A,0,S4,2,A,1,1,B,B,0,2026-09-25T20:01:38Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,A,0,S5,3,A,1,1,B,B,0,2026-09-25T20:01:48Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,A,0,S6,4,B,0,0,B,B,0,2026-09-25T20:01:59Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,A,0,S7,5,B,0,0,B,B,0,2026-09-25T20:02:10Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,A,0,S8,6,B,0,0,B,B,0,2026-09-25T20:02:21Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,A,0,S1,7,A,1,1,B,B,0,2026-09-25T20:02:31Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,A,0,S2,8,A,1,1,B,B,0,2026-09-25T20:02:43Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,3,mocf2f0e9,moca_causal,T1,B,0.88,B,0,S4,1,B,1,1,B,B,0,2026-09-25T20:03:01Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,3,mocf2f0e9,moca_causal,T1,B,0.88,B,0,S5,2,B,1,1,B,B,0,2026-09-25T20:03:12Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,3,mocf2f0e9,moca_causal,T1,B,0.88,B,0,S6,3,B,1,1,B,B,0,2026-09-25T20:03:23Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,3,mocf2f0e9,moca_causal,T1,B,0.88,B,0,S7,4,B,1,1,B,B,0,2026-09-25T20:03:33Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,3,mocf2f0e9,moca_causal,T1,B,0.88,B,0,S8,5,B,1,1,B,B,0,2026-09-25T20:03:44Z
C1_gemma3-latest_s1_site4_21c9,site4,4f0aaba,C1,gemma3:latest,1,3,mocf2f0e9,moca_causal,T1,B,0.88,B,0,S1,6,B,1,1,B,B,0,2026-09-25T20:03:55Z
