run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,0,moc1b8f24,moca_causal,T1,A,0.92,A,0,S1,1,A,1,1,A,A,0,2026-09-22T18:26:39Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,0,moc1b8f24,moca_causal,T1,A,0.92,A,0,S2,2,A,1,1,A,A,0,2026-09-22T18:26:54Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,0,moc1b8f24,moca_causal,T1,A,0.92,A,0,S3,3,A,1,1,A,A,0,2026-09-22T18:27:10Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,0,moc1b8f24,moca_causal,T1,A,0.92,A,0,S4,4,A,1,1,A,A,0,2026-09-22T18:27:24Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,0,moc1b8f24,moca_causal,T1,A,0.92,A,0,S5,5,A,1,1,A,A,0,2026-09-22T18:27:38Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,0,moc1b8f24,moca_causal,T1,A,0.92,A,0,S6,6,A,1,1,A,A,0,2026-09-22T18:27:52Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,0,moc1b8f24,moca_causal,T1,A,0.92,A,0,S7,7,A,1,1,A,A,0,2026-09-22T18:28:06Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,0,moc1b8f24,moca_causal,T1,A,0.92,A,0,S8,8,A,1,1,A,A,0,2026-09-22T18:28:20Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,1,moc32e314,moca_moral,T2,A,0.72,A,0,S2,1,A,1,1,A,A,0,2026-09-22T18:28:35Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,1,moc32e314,moca_moral,T2,A,0.72,A,0,S3,2,B,0,0,B,B,0,2026-09-22T18:28:49Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,1,moc32e314,moca_moral,T2,A,0.72,A,0,S4,3,B,0,0,B,B,0,2026-09-22T18:29:02Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,1,moc32e314,moca_moral,T2,A,0.72,A,0,S5,4,B,0,0,B,B,0,2026-09-22T18:29:17Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,1,moc32e314,moca_moral,T2,A,0.72,A,0,S6,5,B,0,0,B,B,0,2026-09-22T18:29:30Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,1,moc32e314,moca_moral,T2,A,0.72,A,0,S7,6,B,0,0,B,B,0,2026-09-22T18:29:45Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,1,moc32e314,moca_moral,T2,A,0.72,A,0,S8,7,B,0,0,B,B,0,2026-09-22T18:30:00Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,1,moc32e314,moca_moral,T2,A,0.72,A,0,S1,8,B,0,0,B,B,0,2026-09-22T18:30:13Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,2,moc684488,moca_causal,T3,B,0.6,B,0,S3,1,B,1,1,B,B,0,2026-09-22T18:30:31Z
C1_phi4_s1_site3_ef24,site3,eb2170a,C1,phi4,1,2,moc684488,moca_causal,T3,B,0.6,B,0,S4,2,B,1,1,B,B,0,2026-09-22T18:30:47Z
