run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,0,moc93a645,moca_causal,T1,A,0.92,A,0,S1,1,A,1,1,A,A,0,2026-09-24T18:34:09Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,0,moc93a645,moca_causal,T1,A,0.92,A,0,S2,2,A,1,1,A,A,0,2026-09-24T18:34:41Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,0,moc93a645,moca_causal,T1,A,0.92,A,0,S3,3,A,1,1,A,A,0,2026-09-24T18:35:13Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,0,moc93a645,moca_causal,T1,A,0.92,A,0,S4,4,B,0,0,B,A,0,2026-09-24T18:35:46Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,0,moc93a645,moca_causal,T1,A,0.92,A,0,S5,5,B,0,0,B,A,0,2026-09-24T18:36:19Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,0,moc93a645,moca_causal,T1,A,0.92,A,0,S6,6,A,1,1,A,A,0,2026-09-24T18:36:48Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,0,moc93a645,moca_causal,T1,A,0.92,A,0,S7,7,A,1,1,A,A,0,2026-09-24T18:37:17Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,0,moc93a645,moca_causal,T1,A,0.92,A,0,S8,8,A,1,1,A,A,0,2026-09-24T18:37:48Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,1,moc017385,moca_causal,T2,B,0.76,A,1,S2,1,A,0,1,B,A,0,2026-09-24T18:38:36Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,1,moc017385,moca_causal,T2,B,0.76,A,1,S3,2,A,0,1,B,A,0,2026-09-24T18:39:06Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,1,moc017385,moca_causal,T2,B,0.76,A,1,S4,3,B,1,0,B,B,0,2026-09-24T18:39:38Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,1,moc017385,moca_causal,T2,B,0.76,A,1,S5,4,A,0,1,A,A,0,2026-09-24T18:40:08Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,1,moc017385,moca_causal,T2,B,0.76,A,1,S6,5,A,0,1,B,A,0,2026-09-24T18:40:37Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,1,moc017385,moca_causal,T2,B,0.76,A,1,S7,6,B,1,0,B,B,0,2026-09-24T18:41:08Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,1,moc017385,moca_causal,T2,B,0.76,A,1,S8,7,B,1,0,B,B,0,2026-09-24T18:41:40Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,1,moc017385,moca_causal,T2,B,0.76,A,1,S1,8,B,1,0,B,B,0,2026-09-24T18:42:15Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,2,moc908f62,moca_causal,T3,B,0.56,A,1,S3,1,B,1,0,B,B,0,2026-09-24T18:43:19Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,2,moc908f62,moca_causal,T3,B,0.56,A,1,S4,2,B,1,0,B,B,0,2026-09-24T18:43:48Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,2,moc908f62,moca_causal,T3,B,0.56,A,1,S5,3,B,1,0,B,B,0,2026-09-24T18:44:15Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,2,moc908f62,moca_causal,T3,B,0.56,A,1,S6,4,B,1,0,B,B,0,2026-09-24T18:44:43Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,2,moc908f62,moca_causal,T3,B,0.56,A,1,S7,5,B,1,0,B,B,0,2026-09-24T18:45:18Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,2,moc908f62,moca_causal,T3,B,0.56,A,1,S8,6,B,1,0,B,B,0,2026-09-24T18:46:03Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,2,moc908f62,moca_causal,T3,B,0.56,A,1,S1,7,B,1,0,B,B,0,2026-09-24T18:46:39Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,2,moc908f62,moca_causal,T3,B,0.56,A,1,S2,8,B,1,0,B,B,0,2026-09-24T18:47:15Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,3,moc3ef03c,moca_causal,T1,B,0.92,A,1,S4,1,B,1,0,B,B,0,2026-09-24T18:48:22Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,3,moc3ef03c,moca_causal,T1,B,0.92,A,1,S5,2,B,1,0,B,B,0,2026-09-24T18:48:56Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,3,moc3ef03c,moca_causal,T1,B,0.92,A,1,S6,3,B,1,0,B,B,0,2026-09-24T18:49:29Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,3,moc3ef03c,moca_causal,T1,B,0.92,A,1,S7,4,A,0,1,A,B,0,2026-09-24T18:50:01Z
C2_gemma3-12b_s0_site4_0f3d,site4,aeffce7,C2,gemma3:12b,0,3,moc3ef03c,moca_causal,T1,B,0.92,A,1,S8,5,B,1,0,B,B,0,2026-09-24T18:50:33Z
