run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S1,1,A,1,0,A,A,0,2026-09-22T20:29:40Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S2,2,A,1,0,A,A,0,2026-09-22T20:29:45Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S3,3,B,0,1,A,A,0,2026-09-22T20:29:51Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S4,4,B,0,1,A,A,0,2026-09-22T20:29:56Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S5,5,A,1,0,A,A,0,2026-09-22T20:30:02Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S6,6,B,0,1,B,B,0,2026-09-22T20:30:08Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S7,7,A,1,0,A,A,0,2026-09-22T20:30:13Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S8,8,A,1,0,A,A,0,2026-09-22T20:30:19Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,B,1,S2,1,B,0,1,B,B,0,2026-09-22T20:30:25Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,B,1,S3,2,B,0,1,B,B,0,2026-09-22T20:30:31Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,B,1,S4,3,B,0,1,B,B,0,2026-09-22T20:30:37Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,B,1,S5,4,B,0,1,B,B,0,2026-09-22T20:30:43Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,B,1,S6,5,B,0,1,B,B,0,2026-09-22T20:30:50Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,B,1,S7,6,B,0,1,B,B,0,2026-09-22T20:30:56Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,B,1,S8,7,B,0,1,B,B,0,2026-09-22T20:31:03Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,B,1,S1,8,B,0,1,B,B,0,2026-09-22T20:31:09Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,2,moc7a06ea,moca_causal,T3,B,0.56,A,1,S3,1,A,0,1,A,A,0,2026-09-22T20:31:14Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,2,moc7a06ea,moca_causal,T3,B,0.56,A,1,S4,2,A,0,1,B,A,0,2026-09-22T20:31:19Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,2,moc7a06ea,moca_causal,T3,B,0.56,A,1,S5,3,A,0,1,A,A,0,2026-09-22T20:31:24Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,2,moc7a06ea,moca_causal,T3,B,0.56,A,1,S6,4,A,0,1,A,A,0,2026-09-22T20:31:29Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,2,moc7a06ea,moca_causal,T3,B,0.56,A,1,S7,5,A,0,1,A,A,0,2026-09-22T20:31:35Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,2,moc7a06ea,moca_causal,T3,B,0.56,A,1,S8,6,B,1,0,B,B,0,2026-09-22T20:31:40Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,2,moc7a06ea,moca_causal,T3,B,0.56,A,1,S1,7,A,0,1,B,A,0,2026-09-22T20:31:46Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,2,moc7a06ea,moca_causal,T3,B,0.56,A,1,S2,8,A,0,1,B,A,0,2026-09-22T20:31:52Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,3,moc712f5e,moca_causal,T1,A,0.88,B,1,S4,1,B,0,1,B,B,0,2026-09-22T20:31:58Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,3,moc712f5e,moca_causal,T1,A,0.88,B,1,S5,2,B,0,1,B,B,0,2026-09-22T20:32:03Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,3,moc712f5e,moca_causal,T1,A,0.88,B,1,S6,3,B,0,1,B,B,0,2026-09-22T20:32:09Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,3,moc712f5e,moca_causal,T1,A,0.88,B,1,S7,4,B,0,1,B,B,0,2026-09-22T20:32:16Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,3,moc712f5e,moca_causal,T1,A,0.88,B,1,S8,5,B,0,1,B,B,0,2026-09-22T20:32:21Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,3,moc712f5e,moca_causal,T1,A,0.88,B,1,S1,6,B,0,1,B,B,0,2026-09-22T20:32:27Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,3,moc712f5e,moca_causal,T1,A,0.88,B,1,S2,7,B,0,1,B,B,0,2026-09-22T20:32:33Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,3,moc712f5e,moca_causal,T1,A,0.88,B,1,S3,8,B,0,1,B,B,0,2026-09-22T20:32:39Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,4,mocffcaea,moca_moral,T2,A,0.72,B,1,S5,1,A,1,0,B,B,0,2026-09-22T20:32:45Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,4,mocffcaea,moca_moral,T2,A,0.72,B,1,S6,2,A,1,0,B,B,0,2026-09-22T20:32:51Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,4,mocffcaea,moca_moral,T2,A,0.72,B,1,S7,3,A,1,0,B,A,0,2026-09-22T20:32:57Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,4,mocffcaea,moca_moral,T2,A,0.72,B,1,S8,4,A,1,0,B,B,0,2026-09-22T20:33:03Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,4,mocffcaea,moca_moral,T2,A,0.72,B,1,S1,5,A,1,0,B,B,0,2026-09-22T20:33:09Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,4,mocffcaea,moca_moral,T2,A,0.72,B,1,S2,6,A,1,0,B,A,0,2026-09-22T20:33:15Z
C2_gemma3-12b_s1_site5_4bae,site5,f5ad490,C2,gemma3:12b,1,4,mocffcaea,moca_moral,T2,A,0.72,B,1,S3,7,A,1,0,B,A,0,2026-09-22T20:33:21Z
