run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C2_gemma3-latest_s0_site3_dc70,site3,bda99bc,C2,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,B,1,S1,1,B,0,1,B,B,0,2026-09-22T10:27:16Z
C2_gemma3-latest_s0_site3_dc70,site3,bda99bc,C2,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,B,1,S2,2,B,0,1,B,B,0,2026-09-22T10:27:21Z
C2_gemma3-latest_s0_site3_dc70,site3,bda99bc,C2,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,B,1,S3,3,B,0,1,B,B,0,2026-09-22T10:27:27Z
C2_gemma3-latest_s0_site3_dc70,site3,bda99bc,C2,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,B,1,S4,4,B,0,1,B,B,0,2026-09-22T10:27:32Z
C2_gemma3-latest_s0_site3_dc70,site3,bda99bc,C2,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,B,1,S5,5,B,0,1,B,B,0,2026-09-22T10:27:37Z
C2_gemma3-latest_s0_site3_dc70,site3,bda99bc,C2,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,B,1,S6,6,B,0,1,B,A,0,2026-09-22T10:27:42Z
C2_gemma3-latest_s0_site3_dc70,site3,bda99bc,C2,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,B,1,S7,7,B,0,1,B,B,0,2026-09-22T10:27:48Z
C2_gemma3-latest_s0_site3_dc70,site3,bda99bc,C2,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,B,1,S8,8,B,0,1,B,B,0,2026-09-22T10:27:53Z
C2_gemma3-latest_s0_site3_dc70,site3,bda99bc,C2,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,A,1,S2,1,A,0,1,B,B,0,2026-09-22T10:27:58Z
C2_gemma3-latest_s0_site3_dc70,site3,bda99bc,C2,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,A,1,S3,2,B,1,0,B,B,0,2026-09-22T10:28:03Z
C2_gemma3-latest_s0_site3_dc70,site3,bda99bc,C2,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,A,1,S4,3,B,1,0,B,B,0,2026-09-22T10:28:08Z
C2_gemma3-latest_s0_site3_dc70,site3,bda99bc,C2,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,A,1,S5,4,A,0,1,B,B,0,2026-09-22T10:28:14Z
C2_gemma3-latest_s0_site3_dc70,site3,bda99bc,C2,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,A,1,S6,5,B,1,0,B,B,0,2026-09-22T10:28:19Z
C2_gemma3-latest_s0_site3_dc70,site3,bda99bc,C2,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,A,1,S7,6,B,1,0,B,B,0,2026-09-22T10:28:25Z
C2_gemma3-latest_s0_site3_dc70,site3,bda99bc,C2,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,A,1,S8,7,B,1,0,B,B,0,2026-09-22T10:28:30Z
C2_gemma3-latest_s0_site3_dc70,site3,bda99bc,C2,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,A,1,S1,8,B,1,0,B,B,0,2026-09-22T10:28:35Z
