run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,B,1,S1,1,B,0,1,B,B,0,2026-09-26T05:31:20Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,B,1,S2,2,B,0,1,B,B,0,2026-09-26T05:31:29Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,B,1,S3,3,B,0,1,B,B,0,2026-09-26T05:31:36Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,B,1,S4,4,B,0,1,B,B,0,2026-09-26T05:31:44Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,B,1,S5,5,B,0,1,B,B,0,2026-09-26T05:31:52Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,B,1,S6,6,B,0,1,B,B,0,2026-09-26T05:32:02Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,B,1,S7,7,B,0,1,B,B,0,2026-09-26T05:32:13Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,B,1,S8,8,B,0,1,B,B,0,2026-09-26T05:32:25Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,B,1,S2,1,B,0,1,B,B,0,2026-09-26T05:32:50Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,B,1,S3,2,B,0,1,B,B,0,2026-09-26T05:33:06Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,B,1,S4,3,A,1,0,A,A,0,2026-09-26T05:33:21Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,B,1,S5,4,A,1,0,A,B,0,2026-09-26T05:33:36Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,B,1,S6,5,A,1,0,A,B,0,2026-09-26T05:33:49Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,B,1,S7,6,A,1,0,A,B,0,2026-09-26T05:34:04Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,B,1,S8,7,A,1,0,A,B,0,2026-09-26T05:34:17Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,B,1,S1,8,A,1,0,A,B,0,2026-09-26T05:34:28Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,B,1,S3,1,B,0,1,B,B,0,2026-09-26T05:34:51Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,B,1,S4,2,B,0,1,B,B,0,2026-09-26T05:35:06Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,B,1,S5,3,B,0,1,B,B,0,2026-09-26T05:35:20Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,B,1,S6,4,B,0,1,B,B,0,2026-09-26T05:35:36Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,B,1,S7,5,B,0,1,B,B,0,2026-09-26T05:35:52Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,B,1,S8,6,B,0,1,B,B,0,2026-09-26T05:36:10Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,B,1,S1,7,B,0,1,B,B,0,2026-09-26T05:36:25Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,B,1,S2,8,B,0,1,B,B,0,2026-09-26T05:36:43Z
C2_gemma3-latest_s1_site4_b1f0,site4,4c4fe2d,C2,gemma3:latest,1,3,mocf2f0e9,moca_causal,T1,B,0.88,A,1,S4,1,B,1,0,B,B,0,2026-09-26T05:37:06Z
