run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,0,moc712f5e,moca_causal,T1,A,0.88,B,1,S1,1,B,0,1,B,B,0,2026-09-22T18:44:17Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,0,moc712f5e,moca_causal,T1,A,0.88,B,1,S2,2,B,0,1,B,B,0,2026-09-22T18:44:18Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,0,moc712f5e,moca_causal,T1,A,0.88,B,1,S3,3,B,0,1,B,B,0,2026-09-22T18:44:20Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,0,moc712f5e,moca_causal,T1,A,0.88,B,1,S4,4,B,0,1,B,,0,2026-09-22T18:44:21Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,0,moc712f5e,moca_causal,T1,A,0.88,B,1,S5,5,B,0,1,B,B,0,2026-09-22T18:44:22Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,0,moc712f5e,moca_causal,T1,A,0.88,B,1,S6,6,B,0,1,B,,0,2026-09-22T18:44:23Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,0,moc712f5e,moca_causal,T1,A,0.88,B,1,S7,7,B,0,1,B,B,0,2026-09-22T18:44:25Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,0,moc712f5e,moca_causal,T1,A,0.88,B,1,S8,8,B,0,1,B,B,0,2026-09-22T18:44:26Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,1,moc627e44,moca_causal,T2,B,0.76,A,1,S2,1,A,0,1,A,A,0,2026-09-22T18:44:27Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,1,moc627e44,moca_causal,T2,B,0.76,A,1,S3,2,A,0,1,A,A,0,2026-09-22T18:44:29Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,1,moc627e44,moca_causal,T2,B,0.76,A,1,S4,3,A,0,1,A,A,0,2026-09-22T18:44:30Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,1,moc627e44,moca_causal,T2,B,0.76,A,1,S5,4,A,0,1,A,A,0,2026-09-22T18:44:31Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,1,moc627e44,moca_causal,T2,B,0.76,A,1,S6,5,A,0,1,A,A,0,2026-09-22T18:44:32Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,1,moc627e44,moca_causal,T2,B,0.76,A,1,S7,6,A,0,1,A,A,0,2026-09-22T18:44:34Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,1,moc627e44,moca_causal,T2,B,0.76,A,1,S8,7,A,0,1,A,A,0,2026-09-22T18:44:35Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,1,moc627e44,moca_causal,T2,B,0.76,A,1,S1,8,A,0,1,A,A,0,2026-09-22T18:44:36Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,2,moc72879d,moca_causal,T3,B,0.64,A,1,S3,1,B,1,0,B,B,0,2026-09-22T18:44:37Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,2,moc72879d,moca_causal,T3,B,0.64,A,1,S4,2,B,1,0,B,B,0,2026-09-22T18:44:38Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,2,moc72879d,moca_causal,T3,B,0.64,A,1,S5,3,B,1,0,B,B,0,2026-09-22T18:44:39Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,2,moc72879d,moca_causal,T3,B,0.64,A,1,S6,4,B,1,0,B,B,0,2026-09-22T18:44:40Z
C2p_gemma2-9b_s0_site1_1712,site1,a227b8e,C2p,gemma2:9b,0,2,moc72879d,moca_causal,T3,B,0.64,A,1,S7,5,B,1,0,B,B,0,2026-09-22T18:44:41Z
