run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C2p_gemma3-12b_s1_site5_3d9b,site5,bed15d4,C2p,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S1,1,A,1,0,A,A,0,2026-09-23T17:28:46Z
C2p_gemma3-12b_s1_site5_3d9b,site5,bed15d4,C2p,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S2,2,A,1,0,A,A,0,2026-09-23T17:28:52Z
C2p_gemma3-12b_s1_site5_3d9b,site5,bed15d4,C2p,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S3,3,A,1,0,A,A,0,2026-09-23T17:28:57Z
C2p_gemma3-12b_s1_site5_3d9b,site5,bed15d4,C2p,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S4,4,A,1,0,A,A,0,2026-09-23T17:29:03Z
C2p_gemma3-12b_s1_site5_3d9b,site5,bed15d4,C2p,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S5,5,A,1,0,A,A,0,2026-09-23T17:29:09Z
C2p_gemma3-12b_s1_site5_3d9b,site5,bed15d4,C2p,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S6,6,A,1,0,A,A,0,2026-09-23T17:29:15Z
C2p_gemma3-12b_s1_site5_3d9b,site5,bed15d4,C2p,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S7,7,B,0,1,A,A,0,2026-09-23T17:29:22Z
C2p_gemma3-12b_s1_site5_3d9b,site5,bed15d4,C2p,gemma3:12b,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S8,8,A,1,0,A,A,0,2026-09-23T17:29:28Z
C2p_gemma3-12b_s1_site5_3d9b,site5,bed15d4,C2p,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,B,1,S2,1,B,0,1,B,B,0,2026-09-23T17:29:35Z
C2p_gemma3-12b_s1_site5_3d9b,site5,bed15d4,C2p,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,B,1,S3,2,B,0,1,B,B,0,2026-09-23T17:29:41Z
C2p_gemma3-12b_s1_site5_3d9b,site5,bed15d4,C2p,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,B,1,S4,3,B,0,1,B,B,0,2026-09-23T17:29:48Z
C2p_gemma3-12b_s1_site5_3d9b,site5,bed15d4,C2p,gemma3:12b,1,1,moc81d2bd,moca_causal,T2,A,0.76,B,1,S5,4,B,0,1,B,B,0,2026-09-23T17:29:54Z
