run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,B,1,S1,1,B,0,1,B,B,0,2026-09-22T11:05:22Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,B,1,S2,2,B,0,1,B,B,0,2026-09-22T11:05:27Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,B,1,S3,3,B,0,1,B,B,0,2026-09-22T11:05:32Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,B,1,S4,4,B,0,1,B,B,0,2026-09-22T11:05:37Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,B,1,S5,5,B,0,1,B,B,0,2026-09-22T11:05:43Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,B,1,S6,6,B,0,1,B,B,0,2026-09-22T11:05:48Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,B,1,S7,7,B,0,1,B,B,0,2026-09-22T11:05:53Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,0,moc096e79,moca_causal,T1,A,0.88,B,1,S8,8,B,0,1,B,B,0,2026-09-22T11:05:59Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,A,1,S2,1,B,1,0,B,B,0,2026-09-22T11:06:04Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,A,1,S3,2,B,1,0,B,B,0,2026-09-22T11:06:09Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,A,1,S4,3,A,0,1,B,B,0,2026-09-22T11:06:15Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,A,1,S5,4,A,0,1,A,A,0,2026-09-22T11:06:20Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,A,1,S6,5,A,0,1,A,A,0,2026-09-22T11:06:25Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,A,1,S7,6,A,0,1,A,B,0,2026-09-22T11:06:31Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,A,1,S8,7,B,1,0,B,B,0,2026-09-22T11:06:36Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,1,moc9052b5,moca_causal,T2,B,0.84,A,1,S1,8,B,1,0,B,B,0,2026-09-22T11:06:42Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,2,moc2496e9,moca_causal,T3,A,0.56,A,0,S3,1,B,0,0,B,B,0,2026-09-22T11:06:47Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,2,moc2496e9,moca_causal,T3,A,0.56,A,0,S4,2,B,0,0,B,A,0,2026-09-22T11:06:52Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,2,moc2496e9,moca_causal,T3,A,0.56,A,0,S5,3,B,0,0,B,B,0,2026-09-22T11:06:57Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,2,moc2496e9,moca_causal,T3,A,0.56,A,0,S6,4,A,1,1,A,A,0,2026-09-22T11:07:03Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,2,moc2496e9,moca_causal,T3,A,0.56,A,0,S7,5,A,1,1,B,A,0,2026-09-22T11:07:08Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,2,moc2496e9,moca_causal,T3,A,0.56,A,0,S8,6,A,1,1,B,A,0,2026-09-22T11:07:13Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,2,moc2496e9,moca_causal,T3,A,0.56,A,0,S1,7,B,0,0,B,A,0,2026-09-22T11:07:19Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,2,moc2496e9,moca_causal,T3,A,0.56,A,0,S2,8,B,0,0,B,A,0,2026-09-22T11:07:24Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,3,moc1b8f24,moca_causal,T1,A,0.92,B,1,S4,1,A,1,0,A,A,0,2026-09-22T11:07:29Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,3,moc1b8f24,moca_causal,T1,A,0.92,B,1,S5,2,A,1,0,A,A,0,2026-09-22T11:07:34Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,3,moc1b8f24,moca_causal,T1,A,0.92,B,1,S6,3,A,1,0,A,A,0,2026-09-22T11:07:40Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,3,moc1b8f24,moca_causal,T1,A,0.92,B,1,S7,4,A,1,0,A,A,0,2026-09-22T11:07:45Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,3,moc1b8f24,moca_causal,T1,A,0.92,B,1,S8,5,A,1,0,A,A,0,2026-09-22T11:07:50Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,3,moc1b8f24,moca_causal,T1,A,0.92,B,1,S1,6,A,1,0,A,A,0,2026-09-22T11:07:55Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,3,moc1b8f24,moca_causal,T1,A,0.92,B,1,S2,7,B,0,1,B,B,0,2026-09-22T11:08:01Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,3,moc1b8f24,moca_causal,T1,A,0.92,B,1,S3,8,A,1,0,A,A,0,2026-09-22T11:08:06Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,4,moca9f134,moca_moral,T2,B,0.8,A,1,S5,1,A,0,1,B,B,0,2026-09-22T11:08:11Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,4,moca9f134,moca_moral,T2,B,0.8,A,1,S6,2,A,0,1,B,A,0,2026-09-22T11:08:16Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,4,moca9f134,moca_moral,T2,B,0.8,A,1,S7,3,A,0,1,B,A,0,2026-09-22T11:08:21Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,4,moca9f134,moca_moral,T2,B,0.8,A,1,S8,4,A,0,1,B,A,0,2026-09-22T11:08:27Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,4,moca9f134,moca_moral,T2,B,0.8,A,1,S1,5,A,0,1,B,A,0,2026-09-22T11:08:32Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,4,moca9f134,moca_moral,T2,B,0.8,A,1,S2,6,A,0,1,B,A,0,2026-09-22T11:08:37Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,4,moca9f134,moca_moral,T2,B,0.8,A,1,S3,7,A,0,1,B,A,0,2026-09-22T11:08:42Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,4,moca9f134,moca_moral,T2,B,0.8,A,1,S4,8,A,0,1,B,A,0,2026-09-22T11:08:48Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,5,moce9d072,moca_causal,T3,B,0.64,B,0,S6,1,A,0,0,A,A,0,2026-09-22T11:08:53Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,5,moce9d072,moca_causal,T3,B,0.64,B,0,S7,2,A,0,0,A,A,0,2026-09-22T11:08:58Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,5,moce9d072,moca_causal,T3,B,0.64,B,0,S8,3,A,0,0,A,A,0,2026-09-22T11:09:03Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,5,moce9d072,moca_causal,T3,B,0.64,B,0,S1,4,A,0,0,A,A,0,2026-09-22T11:09:08Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,5,moce9d072,moca_causal,T3,B,0.64,B,0,S2,5,A,0,0,A,A,0,2026-09-22T11:09:13Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,5,moce9d072,moca_causal,T3,B,0.64,B,0,S3,6,A,0,0,A,A,0,2026-09-22T11:09:19Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,5,moce9d072,moca_causal,T3,B,0.64,B,0,S4,7,A,0,0,A,A,0,2026-09-22T11:09:24Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,5,moce9d072,moca_causal,T3,B,0.64,B,0,S5,8,A,0,0,A,A,0,2026-09-22T11:09:29Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,6,moc9de9a6,moca_causal,T1,B,0.92,A,1,S7,1,A,0,1,B,B,0,2026-09-22T11:09:34Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,6,moc9de9a6,moca_causal,T1,B,0.92,A,1,S8,2,B,1,0,B,B,0,2026-09-22T11:09:40Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,6,moc9de9a6,moca_causal,T1,B,0.92,A,1,S1,3,B,1,0,B,B,0,2026-09-22T11:09:45Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,6,moc9de9a6,moca_causal,T1,B,0.92,A,1,S2,4,B,1,0,B,B,0,2026-09-22T11:09:51Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,6,moc9de9a6,moca_causal,T1,B,0.92,A,1,S3,5,A,0,1,A,A,0,2026-09-22T11:09:56Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,6,moc9de9a6,moca_causal,T1,B,0.92,A,1,S4,6,B,1,0,B,B,0,2026-09-22T11:10:02Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,6,moc9de9a6,moca_causal,T1,B,0.92,A,1,S5,7,A,0,1,B,B,0,2026-09-22T11:10:07Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,6,moc9de9a6,moca_causal,T1,B,0.92,A,1,S6,8,B,1,0,B,B,0,2026-09-22T11:10:13Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,7,moc140a92,moca_moral,T2,A,0.76,A,0,S8,1,A,1,1,B,A,0,2026-09-22T11:10:18Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,7,moc140a92,moca_moral,T2,A,0.76,A,0,S1,2,A,1,1,B,A,0,2026-09-22T11:10:23Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,7,moc140a92,moca_moral,T2,A,0.76,A,0,S2,3,A,1,1,B,A,0,2026-09-22T11:10:28Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,7,moc140a92,moca_moral,T2,A,0.76,A,0,S3,4,A,1,1,B,A,0,2026-09-22T11:10:33Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,7,moc140a92,moca_moral,T2,A,0.76,A,0,S4,5,A,1,1,B,A,0,2026-09-22T11:10:38Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,7,moc140a92,moca_moral,T2,A,0.76,A,0,S5,6,A,1,1,B,A,0,2026-09-22T11:10:44Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,7,moc140a92,moca_moral,T2,A,0.76,A,0,S6,7,A,1,1,B,A,0,2026-09-22T11:10:49Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,7,moc140a92,moca_moral,T2,A,0.76,A,0,S7,8,A,1,1,B,A,0,2026-09-22T11:10:54Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,8,moc41972f,moca_causal,T3,A,0.6,B,1,S1,1,A,1,0,B,A,0,2026-09-22T11:10:59Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,8,moc41972f,moca_causal,T3,A,0.6,B,1,S2,2,A,1,0,A,A,0,2026-09-22T11:11:04Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,8,moc41972f,moca_causal,T3,A,0.6,B,1,S3,3,A,1,0,B,A,0,2026-09-22T11:11:09Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,8,moc41972f,moca_causal,T3,A,0.6,B,1,S4,4,A,1,0,B,A,0,2026-09-22T11:11:15Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,8,moc41972f,moca_causal,T3,A,0.6,B,1,S5,5,A,1,0,B,A,0,2026-09-22T11:11:20Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,8,moc41972f,moca_causal,T3,A,0.6,B,1,S6,6,A,1,0,B,A,0,2026-09-22T11:11:25Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,8,moc41972f,moca_causal,T3,A,0.6,B,1,S7,7,A,1,0,A,A,0,2026-09-22T11:11:30Z
C2p_gemma3-latest_s0_site3_2f66,site3,c8361d6,C2p,gemma3:latest,0,8,moc41972f,moca_causal,T3,A,0.6,B,1,S8,8,B,0,1,B,B,0,2026-09-22T11:11:36Z
