run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,B,1,S1,1,B,0,1,B,B,0,2026-09-26T09:33:22Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,B,1,S2,2,B,0,1,B,B,0,2026-09-26T09:33:36Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,B,1,S3,3,B,0,1,B,B,0,2026-09-26T09:33:49Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,B,1,S4,4,B,0,1,B,B,0,2026-09-26T09:34:01Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,B,1,S5,5,B,0,1,B,B,0,2026-09-26T09:34:14Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,B,1,S6,6,B,0,1,B,B,0,2026-09-26T09:34:26Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,B,1,S7,7,B,0,1,B,B,0,2026-09-26T09:34:37Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,0,moc07a014,moca_causal,T1,A,0.96,B,1,S8,8,B,0,1,B,B,0,2026-09-26T09:34:50Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,B,1,S2,1,A,1,0,A,A,0,2026-09-26T09:35:12Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,B,1,S3,2,A,1,0,A,A,0,2026-09-26T09:35:24Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,B,1,S4,3,A,1,0,A,A,0,2026-09-26T09:35:35Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,B,1,S5,4,A,1,0,A,A,0,2026-09-26T09:35:47Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,B,1,S6,5,A,1,0,A,A,0,2026-09-26T09:35:59Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,B,1,S7,6,A,1,0,A,B,0,2026-09-26T09:36:12Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,B,1,S8,7,A,1,0,A,A,0,2026-09-26T09:36:24Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,1,moc334765,moca_causal,T2,A,0.72,B,1,S1,8,A,1,0,A,B,0,2026-09-26T09:36:36Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,B,1,S3,1,A,1,0,B,B,0,2026-09-26T09:36:57Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,B,1,S4,2,A,1,0,B,B,0,2026-09-26T09:37:10Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,B,1,S5,3,A,1,0,B,B,0,2026-09-26T09:37:22Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,B,1,S6,4,B,0,1,B,B,0,2026-09-26T09:37:35Z
C2p_gemma3-latest_s1_site4_704e,site4,9222827,C2p,gemma3:latest,1,2,moc691ff2,moca_moral,T3,A,0.52,B,1,S7,5,B,0,1,B,B,0,2026-09-26T09:37:48Z
