run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C2p_phi4_s1_site3_2ba7,site3,b28b616,C2p,phi4,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S1,1,A,1,0,A,A,0,2026-09-23T15:29:07Z
C2p_phi4_s1_site3_2ba7,site3,b28b616,C2p,phi4,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S2,2,A,1,0,A,A,0,2026-09-23T15:29:29Z
C2p_phi4_s1_site3_2ba7,site3,b28b616,C2p,phi4,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S3,3,A,1,0,A,A,0,2026-09-23T15:29:48Z
C2p_phi4_s1_site3_2ba7,site3,b28b616,C2p,phi4,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S4,4,A,1,0,A,A,0,2026-09-23T15:30:08Z
C2p_phi4_s1_site3_2ba7,site3,b28b616,C2p,phi4,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S5,5,A,1,0,A,A,0,2026-09-23T15:30:31Z
C2p_phi4_s1_site3_2ba7,site3,b28b616,C2p,phi4,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S6,6,A,1,0,A,A,0,2026-09-23T15:30:49Z
C2p_phi4_s1_site3_2ba7,site3,b28b616,C2p,phi4,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S7,7,A,1,0,A,A,0,2026-09-23T15:31:10Z
C2p_phi4_s1_site3_2ba7,site3,b28b616,C2p,phi4,1,0,moc1b8f24,moca_causal,T1,A,0.92,B,1,S8,8,A,1,0,A,A,0,2026-09-23T15:31:28Z
C2p_phi4_s1_site3_2ba7,site3,b28b616,C2p,phi4,1,1,moc32e314,moca_moral,T2,A,0.72,B,1,S2,1,B,0,1,B,B,0,2026-09-23T15:31:48Z
C2p_phi4_s1_site3_2ba7,site3,b28b616,C2p,phi4,1,1,moc32e314,moca_moral,T2,A,0.72,B,1,S3,2,B,0,1,B,B,0,2026-09-23T15:32:07Z
