item_id,tier,sample,answer
mock010,T1,0,A
mock010,T1,1,A
mock010,T1,2,A
mock010,T1,3,A
mock010,T1,4,B
mock010,T1,5,A
mock010,T1,6,A
mock010,T1,7,A
mock010,T1,8,A
mock010,T1,9,A
mock010,T1,10,A
mock010,T1,11,A
mock010,T1,12,A
mock010,T1,13,A
mock010,T1,14,A
mock010,T1,15,B
mock015,T1,0,A
mock015,T1,1,A
mock015,T1,2,A
mock015,T1,3,A
mock015,T1,4,A
mock015,T1,5,A
mock015,T1,6,A
mock015,T1,7,B
mock015,T1,8,B
mock015,T1,9,B
mock015,T1,10,A
mock015,T1,11,A
mock015,T1,12,A
mock015,T1,13,A
mock015,T1,14,B
mock015,T1,15,A
mock002,T1,0,A
mock002,T1,1,A
mock002,T1,2,B
mock002,T1,3,A
mock002,T1,4,A
mock002,T1,5,B
mock002,T1,6,A
mock002,T1,7,A
mock002,T1,8,A
mock002,T1,9,A
mock002,T1,10,A
mock002,T1,11,A
mock002,T1,12,B
mock002,T1,13,B
mock002,T1,14,A
mock002,T1,15,B
mock007,T1,0,A
mock007,T1,1,B
mock007,T1,2,A
mock007,T1,3,B
mock007,T1,4,A
mock007,T1,5,B
mock007,T1,6,A
mock007,T1,7,A
mock007,T1,8,B
mock007,T1,9,A
mock007,T1,10,A
mock007,T1,11,A
mock007,T1,12,B
mock007,T1,13,B
mock007,T1,14,B
mock007,T1,15,A
mock009,T1,0,A
mock009,T1,1,B
mock009,T1,2,A
mock009,T1,3,A
mock009,T1,4,A
mock009,T1,5,A
mock009,T1,6,A
mock009,T1,7,A
mock009,T1,8,A
mock009,T1,9,A
mock009,T1,10,A
mock009,T1,11,A
mock009,T1,12,A
mock009,T1,13,A
mock009,T1,14,A
mock009,T1,15,A
mock018,T1,0,A
mock018,T1,1,A
mock018,T1,2,A
mock018,T1,3,A
mock018,T1,4,B
mock018,T1,5,A
mock018,T1,6,A
mock018,T1,7,A
mock018,T1,8,B
mock018,T1,9,B
mock018,T1,10,A
mock018,T1,11,A
mock018,T1,12,A
mock018,T1,13,A
mock018,T1,14,A
mock018,T1,15,A
mock013,T1,0,A
mock013,T1,1,A
mock013,T1,2,A
mock013,T1,3,A
mock013,T1,4,A
mock013,T1,5,B
mock013,T1,6,A
mock013,T1,7,A
mock013,T1,8,A
mock013,T1,9,A
mock013,T1,10,A
mock013,T1,11,A
mock013,T1,12,B
mock013,T1,13,A
mock013,T1,14,A
mock013,T1,15,A
mock023,T2,0,B
mock023,T2,1,B
mock023,T2,2,B
mock023,T2,3,B
mock023,T2,4,B
mock023,T2,5,B
mock023,T2,6,A
mock023,T2,7,B
mock023,T2,8,B
mock023,T2,9,B
mock023,T2,10,B
mock023,T2,11,B
mock023,T2,12,B
mock023,T2,13,B
mock023,T2,14,B
mock023,T2,15,B
mock014,T2,0,B
mock014,T2,1,A
mock014,T2,2,B
mock014,T2,3,B
mock014,T2,4,B
mock014,T2,5,B
mock014,T2,6,B
mock014,T2,7,B
mock014,T2,8,B
mock014,T2,9,B
mock014,T2,10,B
mock014,T2,11,B
mock014,T2,12,B
mock014,T2,13,B
mock014,T2,14,B
mock014,T2,15,B
mock006,T2,0,B
mock006,T2,1,A
mock006,T2,2,B
mock006,T2,3,A
mock006,T2,4,B
mock006,T2,5,B
mock006,T2,6,B
mock006,T2,7,B
mock006,T2,8,B
mock006,T2,9,B
mock006,T2,10,B
mock006,T2,11,B
mock006,T2,12,B
mock006,T2,13,B
mock006,T2,14,B
mock006,T2,15,B
mock000,T2,0,B
mock000,T2,1,A
