item_id,tier,sample,answer
mock000,T2,0,A
mock000,T2,1,A
mock000,T2,2,A
mock000,T2,3,A
mock000,T2,4,B
mock000,T2,5,A
mock000,T2,6,A
mock000,T2,7,A
mock000,T2,8,A
mock000,T2,9,A
mock000,T2,10,A
mock000,T2,11,A
mock000,T2,12,A
mock000,T2,13,A
mock000,T2,14,A
mock000,T2,15,B
mock001,T2,0,A
mock001,T2,1,A
mock001,T2,2,A
mock001,T2,3,A
mock001,T2,4,A
mock001,T2,5,A
mock001,T2,6,A
mock001,T2,7,B
mock001,T2,8,B
mock001,T2,9,B
mock001,T2,10,A
mock001,T2,11,A
mock001,T2,12,A
mock001,T2,13,A
mock001,T2,14,B
mock001,T2,15,A
mock002,T1,0,A
mock002,T1,1,A
mock002,T1,2,B
mock002,T1,3,A
mock002,T1,4,A
mock002,T1,5,B
mock002,T1,6,A
mock002,T1,7,A
mock002,T1,8,A
mock002,T1,9,A
mock002,T1,10,A
mock002,T1,11,A
mock002,T1,12,B
mock002,T1,13,B
mock002,T1,14,A
mock002,T1,15,B
mock003,T2,0,A
mock003,T2,1,B
mock003,T2,2,A
mock003,T2,3,B
mock003,T2,4,A
mock003,T2,5,B
mock003,T2,6,A
mock003,T2,7,A
mock003,T2,8,B
mock003,T2,9,A
mock003,T2,10,A
mock003,T2,11,A
mock003,T2,12,B
mock003,T2,13,B
mock003,T2,14,B
mock003,T2,15,A
mock004,T3,0,A
mock004,T3,1,B
mock004,T3,2,A
mock004,T3,3,A
mock004,T3,4,A
mock004,T3,5,A
mock004,T3,6,A
mock004,T3,7,A
mock004,T3,8,A
mock004,T3,9,A
mock004,T3,10,A
mock004,T3,11,A
mock004,T3,12,A
mock004,T3,13,A
mock004,T3,14,A
mock004,T3,15,A
mock005,T1,0,A
mock005,T1,1,A
mock005,T1,2,A
mock005,T1,3,A
mock005,T1,4,B
mock005,T1,5,A
mock005,T1,6,A
mock005,T1,7,A
mock005,T1,8,B
mock005,T1,9,B
mock005,T1,10,A
mock005,T1,11,A
mock005,T1,12,A
mock005,T1,13,A
mock005,T1,14,A
mock005,T1,15,A
mock006,T2,0,B
mock006,T2,1,B
mock006,T2,2,B
mock006,T2,3,B
mock006,T2,4,B
mock006,T2,5,A
mock006,T2,6,B
mock006,T2,7,B
mock006,T2,8,B
mock006,T2,9,B
mock006,T2,10,B
mock006,T2,11,B
mock006,T2,12,A
mock006,T2,13,B
mock006,T2,14,B
mock006,T2,15,B
mock007,T1,0,A
mock007,T1,1,A
mock007,T1,2,A
mock007,T1,3,A
mock007,T1,4,A
mock007,T1,5,A
mock007,T1,6,B
mock007,T1,7,A
mock007,T1,8,A
mock007,T1,9,A
mock007,T1,10,A
mock007,T1,11,A
mock007,T1,12,A
mock007,T1,13,A
mock007,T1,14,A
mock007,T1,15,A
mock008,T1,0,B
mock008,T1,1,A
mock008,T1,2,B
mock008,T1,3,B
mock008,T1,4,B
mock008,T1,5,B
mock008,T1,6,B
mock008,T1,7,B
mock008,T1,8,B
mock008,T1,9,B
mock008,T1,10,B
mock008,T1,11,B
mock008,T1,12,B
mock008,T1,13,B
mock008,T1,14,B
mock008,T1,15,B
mock009,T1,0,A
mock009,T1,1,B
mock009,T1,2,A
mock009,T1,3,B
mock009,T1,4,A
mock009,T1,5,A
mock009,T1,6,A
mock009,T1,7,A
mock009,T1,8,A
mock009,T1,9,A
mock009,T1,10,A
mock009,T1,11,A
mock009,T1,12,A
mock009,T1,13,A
mock009,T1,14,A
mock009,T1,15,A
mock010,T1,0,B
mock010,T1,1,A
mock010,T1,2,B
mock010,T1,3,A
mock010,T1,4,B
mock010,T1,5,A
mock010,T1,6,A
mock010,T1,7,A
mock010,T1,8,B
mock010,T1,9,B
mock010,T1,10,A
mock010,T1,11,A
mock010,T1,12,A
mock010,T1,13,A
mock010,T1,14,A
mock010,T1,15,A
mock011,T3,0,B
mock011,T3,1,B
mock011,T3,2,B
mock011,T3,3,B
mock011,T3,4,A
mock011,T3,5,B
mock011,T3,6,B
mock011,T3,7,B
mock011,T3,8,B
mock011,T3,9,A
mock011,T3,10,B
