run_id,site,commit,condition,model,session_idx,round,item_id,source_ds,tier,human_majority,human_share,sup_advocates,sup_counter,agent_id,position,public_ans,public_is_human_majority,adopts_sup,private_immediate,private_deferred,parse_retries,timestamp_utc
C1_mockmodel_s0_mocksite_bcc7,mocksite,mock,C1,mockmodel,0,0,mock010,mock,T1,A,0.95,A,0,S1,1,A,1,1,A,A,0,2026-09-15T06:18:04Z
C1_mockmodel_s0_mocksite_bcc7,mocksite,mock,C1,mockmodel,0,0,mock010,mock,T1,A,0.95,A,0,S2,2,A,1,1,A,A,0,2026-09-15T06:18:04Z
C1_mockmodel_s0_mocksite_bcc7,mocksite,mock,C1,mockmodel,0,0,mock010,mock,T1,A,0.95,A,0,S3,3,A,1,1,A,A,0,2026-09-15T06:18:04Z
C1_mockmodel_s0_mocksite_bcc7,mocksite,mock,C1,mockmodel,0,0,mock010,mock,T1,A,0.95,A,0,S4,4,A,1,1,A,A,0,2026-09-15T06:18:04Z
C1_mockmodel_s0_mocksite_bcc7,mocksite,mock,C1,mockmodel,0,0,mock010,mock,T1,A,0.95,A,0,S5,5,A,1,1,A,A,0,2026-09-15T06:18:04Z
C1_mockmodel_s0_mocksite_bcc7,mocksite,mock,C1,mockmodel,0,0,mock010,mock,T1,A,0.95,A,0,S6,6,B,0,0,A,A,0,2026-09-15T06:18:04Z
C1_mockmodel_s0_mocksite_bcc7,mocksite,mock,C1,mockmodel,0,0,mock010,mock,T1,A,0.95,A,0,S7,7,A,1,1,A,A,0,2026-09-15T06:18:04Z
C1_mockmodel_s0_mocksite_bcc7,mocksite,mock,C1,mockmodel,0,0,mock010,mock,T1,A,0.95,A,0,S8,8,A,1,1,A,A,0,2026-09-15T06:18:04Z
C1_mockmodel_s0_mocksite_bcc7,mocksite,mock,C1,mockmodel,0,1,mock001,mock,T2,A,0.8,A,0,S2,1,A,1,1,A,A,0,2026-09-15T06:18:04Z
C1_mockmodel_s0_mocksite_bcc7,mocksite,mock,C1,mockmodel,0,1,mock001,mock,T2,A,0.8,A,0,S3,2,A,1,1,A,A,0,2026-09-15T06:18:04Z
C1_mockmodel_s0_mocksite_bcc7,mocksite,mock,C1,mockmodel,0,1,mock001,mock,T2,A,0.8,A,0,S4,3,B,0,0,B,A,0,2026-09-15T06:18:04Z
C1_mockmodel_s0_mocksite_bcc7,mocksite,mock,C1,mockmodel,0,1,mock001,mock,T2,A,0.8,A,0,S5,4,A,1,1,A,A,0,2026-09-15T06:18:04Z
C1_mockmodel_s0_mocksite_bcc7,mocksite,mock,C1,mockmodel,0,1,mock001,mock,T2,A,0.8,A,0,S6,5,A,1,1,A,A,0,2026-09-15T06:18:04Z
C1_mockmodel_s0_mocksite_bcc7,mocksite,mock,C1,mockmodel,0,1,mock001,mock,T2,A,0.8,A,0,S7,6,A,1,1,B,A,0,2026-09-15T06:18:04Z
